'Time',' binance_Tinkoff_buy','binance_Tinkoff_sell','binance_sber_buy','binance_SBER_sell','garantex','moex'
02-06-2023 00:04:06,73.04,72.9,73.03,72.89,72.75,70.09
02-06-2023 00:09:06,73.04,72.89,73.0,72.9,72.75,70.09
02-06-2023 00:14:06,73.04,72.9,73.02,72.89,72.75,70.09
02-06-2023 00:19:06,73.04,72.89,73.02,72.89,72.75,70.09
02-06-2023 00:24:06,73.03,72.9,73.03,72.9,72.75,70.09
02-06-2023 00:29:06,73.04,72.88,73.0,72.89,72.75,70.09
02-06-2023 00:34:06,73.04,72.87,73.03,72.89,72.75,70.09
02-06-2023 00:39:06,73.04,72.89,73.02,72.9,72.75,70.09
02-06-2023 00:44:06,73.0,72.9,73.02,72.86,72.75,70.09
02-06-2023 00:49:06,73.03,72.92,73.03,72.83,72.75,70.09
02-06-2023 00:54:06,73.0,72.92,73.03,72.87,72.75,70.09
02-06-2023 00:59:06,73.02,72.93,73.0,72.87,72.75,70.09
02-06-2023 01:04:06,73.02,72.93,73.0,72.86,72.75,70.09
02-06-2023 01:09:06,73.02,72.93,73.02,72.89,72.75,70.09
02-06-2023 01:14:06,73.02,72.91,73.0,72.89,72.75,70.09
02-06-2023 01:19:06,73.02,72.91,72.99,72.83,72.75,70.09
02-06-2023 01:25:06,73.02,72.91,73.02,72.83,72.75,70.09
02-06-2023 01:30:06,73.02,72.91,73.02,72.83,72.75,70.09
02-06-2023 01:35:06,73.02,72.9,73.02,72.84,72.73,70.09
02-06-2023 01:40:06,73.04,72.9,73.03,72.84,72.75,70.09
02-06-2023 01:45:06,73.02,72.9,73.04,72.84,72.75,70.09
02-06-2023 01:50:06,73.04,72.86,73.0,72.84,72.75,70.09
02-06-2023 01:55:06,73.02,72.86,73.0,72.84,72.75,70.09
02-06-2023 02:00:06,73.03,72.87,73.0,72.84,72.75,70.09
02-06-2023 02:05:06,73.02,72.87,73.04,72.82,72.75,70.09
02-06-2023 02:10:06,73.04,72.89,73.0,72.89,72.75,70.09
02-06-2023 02:15:06,73.04,72.89,73.03,72.81,72.75,70.09
02-06-2023 02:20:06,73.02,72.9,73.03,72.81,72.75,70.09
02-06-2023 02:25:06,73.03,72.9,73.03,72.81,72.75,70.09
02-06-2023 02:30:06,73.04,72.9,73.0,72.81,72.75,70.09
02-06-2023 02:35:06,73.04,72.9,73.03,72.85,72.75,70.09
02-06-2023 02:40:06,73.05,72.9,73.04,72.86,72.75,70.09
02-06-2023 02:45:06,73.04,72.9,73.04,72.85,72.75,70.09
02-06-2023 02:50:06,73.05,72.9,73.04,72.82,72.75,70.09
02-06-2023 02:55:06,73.06,72.9,73.04,72.82,72.75,70.09
02-06-2023 03:00:06,73.06,72.9,73.04,72.81,72.75,70.09
02-06-2023 03:05:06,73.07,72.9,73.04,72.81,72.75,70.09
02-06-2023 03:10:06,73.07,72.92,73.04,72.81,72.75,70.09
02-06-2023 03:15:06,73.07,72.92,73.0,72.82,72.75,70.09
02-06-2023 03:20:06,73.07,72.92,73.03,72.81,72.75,70.09
02-06-2023 03:25:06,73.07,72.92,73.03,72.82,72.75,70.09
02-06-2023 03:30:06,73.06,72.92,73.03,72.87,72.79,70.09
02-06-2023 03:36:06,73.05,72.92,73.03,72.81,72.79,70.09
02-06-2023 03:41:06,73.06,72.92,73.03,72.82,72.79,70.09
02-06-2023 03:46:06,73.05,72.92,73.1,72.84,72.79,70.09
02-06-2023 03:51:06,73.06,72.92,73.13,72.84,72.79,70.09
02-06-2023 03:56:06,73.06,72.92,73.12,72.81,72.79,70.09
02-06-2023 04:01:06,73.05,72.92,73.12,72.82,72.79,70.09
02-06-2023 04:06:06,73.06,72.92,73.1,72.82,72.79,70.09
02-06-2023 04:11:06,73.09,72.92,73.07,72.82,72.79,70.09
02-06-2023 04:16:06,73.08,72.92,73.07,72.85,72.79,70.09
02-06-2023 04:21:06,73.06,72.92,73.05,72.85,72.79,70.09
02-06-2023 04:26:06,73.06,72.89,73.04,72.86,72.79,70.09
02-06-2023 04:31:06,73.06,72.87,73.08,72.85,72.79,70.09
02-06-2023 04:36:06,73.09,72.76,73.04,72.82,72.79,70.09
02-06-2023 04:41:06,73.08,72.78,73.04,72.78,72.79,70.09
02-06-2023 04:46:06,73.06,72.86,73.05,72.75,72.79,70.09
02-06-2023 04:51:06,73.07,72.9,73.05,72.8,72.79,70.09
02-06-2023 04:56:06,73.05,72.92,73.04,72.8,72.79,70.09
02-06-2023 05:01:06,73.03,72.87,73.04,72.8,72.79,70.09
02-06-2023 05:06:06,73.01,72.83,73.04,72.8,72.79,70.09
02-06-2023 05:11:06,72.93,72.76,73.04,72.74,72.79,70.09
02-06-2023 05:16:06,72.95,72.8,73.03,72.74,72.79,70.09
02-06-2023 05:21:06,72.95,72.8,73.03,72.74,72.79,70.09
02-06-2023 05:26:06,73.01,72.8,73.03,72.74,72.79,70.09
02-06-2023 05:32:06,73.02,72.8,73.03,72.77,72.79,70.09
02-06-2023 05:37:06,73.04,72.8,73.01,72.8,72.79,70.09
02-06-2023 05:42:06,73.06,72.84,73.0,72.83,72.79,70.09
02-06-2023 05:47:06,73.1,72.86,73.0,72.8,72.79,70.09
02-06-2023 05:52:06,73.1,72.88,73.0,72.86,72.76,70.09
02-06-2023 05:57:06,73.1,72.89,73.0,72.84,72.79,70.09
02-06-2023 06:02:06,73.09,72.87,72.99,72.84,72.79,70.09
02-06-2023 06:07:06,73.08,72.92,72.99,72.84,72.79,70.09
02-06-2023 06:12:06,73.1,72.93,72.99,72.84,72.78,70.09
02-06-2023 06:17:06,73.1,72.9,73.0,72.84,72.79,70.45
02-06-2023 06:22:06,73.1,72.91,73.01,72.85,72.77,70.45
02-06-2023 06:27:06,73.1,72.9,73.0,72.84,72.79,70.45
02-06-2023 06:32:06,73.1,72.89,73.0,72.86,72.79,70.45
02-06-2023 06:37:06,73.04,72.91,73.0,72.86,72.79,70.45
02-06-2023 06:42:06,73.05,72.9,72.99,72.86,72.75,70.45
02-06-2023 06:47:06,73.05,72.93,72.99,72.88,72.75,70.45
02-06-2023 06:52:06,73.03,72.91,73.1,72.9,72.75,70.45
02-06-2023 06:57:06,73.0,72.92,73.1,72.92,72.75,70.45
02-06-2023 07:02:06,73.06,72.92,73.09,72.92,72.7,70.45
02-06-2023 07:07:06,73.06,72.95,73.05,72.94,72.67,70.45
02-06-2023 07:12:06,73.08,72.97,73.05,72.94,72.75,70.45
02-06-2023 07:17:06,73.1,73.02,73.07,72.92,72.7,70.45
02-06-2023 07:22:06,73.1,73.01,73.09,72.92,72.7,70.45
02-06-2023 07:27:06,73.1,72.98,73.14,72.92,72.7,70.45
02-06-2023 07:33:06,73.06,72.93,73.15,72.93,72.7,70.45
02-06-2023 07:38:06,73.06,72.88,73.12,72.93,72.7,70.45
02-06-2023 07:43:06,73.04,72.89,73.11,72.93,72.7,70.45
02-06-2023 07:48:06,73.0,72.88,73.1,72.84,72.7,70.45
02-06-2023 07:53:06,73.01,72.86,73.08,72.85,72.7,70.45
02-06-2023 07:58:06,73.01,72.87,73.06,72.84,72.7,70.45
02-06-2023 08:03:06,73.01,72.84,73.03,72.84,72.7,70.45
02-06-2023 08:08:06,72.95,72.8,72.99,72.86,72.65,70.45
02-06-2023 08:13:06,72.95,72.8,72.98,72.86,72.61,70.45
02-06-2023 08:18:06,72.96,72.83,72.97,72.85,72.65,70.45
02-06-2023 08:23:06,72.97,72.86,72.99,72.85,72.65,70.45
02-06-2023 08:28:06,72.97,72.86,73.04,72.81,72.65,70.45
02-06-2023 08:33:06,72.97,72.88,73.09,72.82,72.65,70.45
02-06-2023 08:38:06,72.96,72.88,73.08,72.82,72.75,70.45
02-06-2023 08:43:06,73.02,72.89,73.06,72.85,72.7,70.45
02-06-2023 08:48:06,73.03,72.89,73.0,72.88,72.7,70.45
02-06-2023 08:53:06,73.03,72.87,73.03,72.87,72.67,70.45
02-06-2023 08:58:06,73.02,72.88,73.03,72.91,72.7,70.45
02-06-2023 09:03:06,73.03,72.91,73.03,72.91,72.7,70.45
02-06-2023 09:08:06,73.02,72.91,73.05,72.91,72.7,70.45
02-06-2023 09:13:06,73.04,72.91,73.08,72.89,72.7,70.45
02-06-2023 09:18:06,73.04,72.88,73.08,72.91,72.7,70.45
02-06-2023 09:23:06,73.02,72.87,73.08,72.92,72.7,70.45
02-06-2023 09:28:06,73.04,72.89,73.03,72.92,72.7,70.45
02-06-2023 09:34:06,73.04,72.88,73.03,72.91,72.67,70.45
02-06-2023 09:39:06,73.04,72.9,73.03,72.92,72.65,70.45
02-06-2023 09:44:06,73.05,72.91,73.06,72.92,72.64,70.45
02-06-2023 09:49:06,73.04,72.94,73.03,72.92,72.6,70.45
02-06-2023 09:54:06,73.0,72.96,73.04,72.9,72.6,70.45
02-06-2023 09:59:06,73.1,72.97,73.06,72.91,72.6,70.45
02-06-2023 10:04:06,73.06,72.94,73.06,72.91,72.6,70.45
02-06-2023 10:09:06,73.04,72.89,73.05,72.92,72.6,70.45
02-06-2023 10:14:06,73.02,72.91,73.05,72.9,72.55,70.45
02-06-2023 10:19:06,73.06,72.92,73.0,72.91,72.55,70.45
02-06-2023 10:24:06,73.06,72.92,73.05,72.89,72.5,70.45
02-06-2023 10:29:06,73.04,72.91,73.07,72.9,72.6,70.45
