'Time',' binance_Tinkoff_buy','binance_Tinkoff_sell','binance_sber_buy','binance_SBER_sell','garantex','moex'
30-01-2023 01:02:30,72.12,71.99,72.05,71.98,71.95,69.15
30-01-2023 01:07:30,72.11,71.97,72.05,71.98,71.9,69.15
30-01-2023 01:12:30,72.1,72.02,72.04,71.99,71.95,69.15
30-01-2023 01:17:30,72.1,71.99,72.04,71.99,71.95,69.15
30-01-2023 01:22:30,72.1,71.99,72.04,71.98,71.87,69.15
30-01-2023 01:27:30,72.09,72.0,72.05,71.98,71.88,69.15
30-01-2023 01:32:30,72.09,71.96,72.03,71.97,71.85,69.15
30-01-2023 01:37:30,72.09,71.97,72.07,71.96,71.85,69.15
30-01-2023 01:42:30,72.09,71.95,72.07,71.96,71.85,69.15
30-01-2023 01:47:30,72.1,71.96,72.07,71.96,71.85,69.15
30-01-2023 01:52:30,72.1,71.96,72.03,71.94,71.85,69.15
30-01-2023 01:57:30,72.1,71.95,72.03,71.91,71.85,69.15
30-01-2023 02:02:30,72.1,71.96,72.01,71.91,71.85,69.15
30-01-2023 02:07:30,72.1,71.98,72.0,71.88,71.85,69.15
30-01-2023 02:12:30,72.1,71.98,72.0,71.9,71.85,69.15
30-01-2023 02:17:30,72.12,71.98,72.0,71.9,71.85,69.15
30-01-2023 02:23:30,72.1,71.98,72.02,71.96,71.85,69.15
30-01-2023 02:28:30,72.13,71.98,72.02,71.96,71.85,69.15
30-01-2023 02:33:30,72.1,71.98,72.08,71.96,71.85,69.15
30-01-2023 02:38:30,72.1,71.99,72.12,71.96,71.85,69.15
30-01-2023 02:43:30,72.17,72.03,72.05,71.9,71.85,69.15
30-01-2023 02:48:30,72.17,72.03,72.1,71.94,71.85,69.15
30-01-2023 02:53:30,72.15,72.03,72.12,71.94,71.95,69.15
30-01-2023 02:58:30,72.16,72.02,72.12,71.96,71.95,69.15
30-01-2023 03:03:30,72.12,72.02,72.13,71.92,71.95,69.15
30-01-2023 03:08:30,72.11,72.02,72.1,71.92,71.95,69.15
